iter	Passed	Remaining
1154	5127	4515
1155	5131	4510
1156	5135	4505
1157	5140	4501
1158	5144	4496
1159	5148	4491
1160	5152	4486
1161	5156	4481
1162	5160	4477
1163	5165	4472
1164	5168	4467
1165	5173	4463
1166	5177	4458
1167	5180	4453
1168	5184	4448
1169	5188	4443
1170	5193	4439
1171	5197	4434
1172	5200	4429
1173	5204	4424
1174	5209	4420
1175	5213	4415
1176	5216	4410
1177	5220	4405
1178	5225	4400
1179	5229	4396
1180	5233	4391
1181	5237	4386
1182	5241	4382
1183	5245	4377
1184	5249	4372
1185	5254	4368
1186	5258	4363
1187	5262	4358
1188	5266	4354
1189	5270	4349
1190	5275	4344
1191	5279	4340
1192	5293	4343
1193	5298	4339
1194	5304	4336
1195	5310	4333
1196	5317	4330
1197	5322	4327
1198	5326	4322
1199	5331	4318
1200	5335	4313
1201	5339	4309
1202	5343	4304
1203	5347	4299
1204	5351	4294
1205	5356	4290
1206	5359	4285
1207	5364	4280
1208	5368	4275
1209	5372	4271
1210	5376	4266
1211	5381	4262
1212	5386	4258
1213	5391	4254
1214	5395	4249
1215	5398	4244
1216	5403	4240
1217	5407	4235
1218	5411	4230
1219	5416	4226
1220	5421	4222
1221	5426	4218
1222	5431	4214
1223	5437	4211
1224	5442	4207
1225	5448	4203
1226	5453	4200
1227	5458	4195
1228	5463	4191
1229	5468	4187
1230	5472	4182
1231	5476	4178
1232	5481	4174
1233	5486	4170
1234	5490	4165
1235	5495	4161
1236	5501	4158
1237	5506	4154
1238	5511	4150
1239	5516	4146
1240	5521	4141
1241	5524	4137
1242	5531	4133
1243	5535	4129
1244	5539	4124
1245	5544	4120
1246	5550	4117
1247	5554	4112
1248	5559	4108
1249	5564	4104
1250	5568	4099
1251	5572	4094
1252	5577	4090
1253	5581	4086
1254	5585	4081
1255	5589	4076
1256	5595	4072
1257	5599	4068
1258	5603	4063
1259	5609	4060
1260	5614	4056
1261	5618	4051
1262	5623	4046
1263	5628	4043
1264	5631	4038
1265	5644	4039
1266	5648	4034
1267	5652	4030
1268	5657	4025
1269	5662	4021
1270	5666	4016
1271	5670	4012
1272	5675	4008
1273	5679	4003
1274	5683	3998
1275	5687	3993
1276	5692	3989
1277	5697	3985
1278	5701	3980
1279	5706	3976
1280	5710	3972
1281	5714	3967
1282	5718	3962
1283	5724	3958
1284	5728	3954
1285	5732	3949
1286	5736	3944
1287	5741	3940
1288	5745	3936
1289	5749	3931
1290	5755	3927
1291	5759	3923
1292	5764	3918
1293	5768	3913
1294	5773	3909
1295	5777	3905
1296	5782	3900
1297	5786	3896
1298	5791	3891
1299	5795	3887
1300	5799	3882
1301	5805	3879
1302	5810	3875
1303	5814	3870
1304	5819	3866
1305	5824	3862
1306	5829	3858
1307	5835	3854
1308	5841	3851
1309	5846	3846
1310	5850	3842
1311	5855	3838
1312	5860	3833
1313	5864	3829
1314	5870	3826
1315	5874	3821
1316	5878	3816
1317	5882	3811
1318	5887	3807
1319	5891	3802
1320	5896	3798
1321	5901	3794
1322	5905	3789
1323	5909	3784
1324	5914	3780
1325	5919	3776
1326	5923	3771
1327	5927	3767
1328	5931	3762
1329	5936	3758
1330	5940	3753
1331	5944	3748
1332	5950	3745
1333	5954	3740
1334	5958	3735
1335	5963	3731
1336	5967	3727
1337	5972	3722
1338	5976	3718
1339	5982	3714
1340	5986	3710
1341	5990	3705
1342	5994	3700
1343	5999	3696
1344	6004	3691
1345	6008	3686
1346	6013	3683
1347	6018	3678
1348	6022	3674
1349	6026	3669
1350	6031	3665
1351	6036	3661
1352	6040	3656
1353	6047	3653
1354	6051	3648
1355	6054	3643
1356	6059	3639
1357	6063	3634
1358	6067	3629
1359	6071	3625
1360	6076	3620
1361	6080	3616
1362	6084	3611
1363	6088	3606
1364	6092	3602
1365	6097	3597
1366	6101	3592
1367	6105	3588
1368	6109	3583
1369	6114	3579
1370	6118	3574
1371	6122	3570
1372	6127	3566
1373	6131	3561
1374	6135	3556
1375	6139	3551
1376	6144	3547
1377	6148	3542
1378	6152	3538
1379	6156	3533
1380	6161	3528
1381	6165	3524
1382	6168	3519
1383	6173	3515
1384	6179	3511
1385	6183	3506
1386	6187	3502
1387	6193	3498
1388	6197	3493
1389	6201	3488
1390	6206	3484
1391	6210	3480
1392	6214	3475
1393	6218	3470
1394	6223	3466
1395	6227	3461
1396	6231	3456
1397	6235	3452
1398	6241	3448
1399	6245	3443
1400	6249	3439
1401	6253	3434
1402	6258	3430
1403	6262	3425
1404	6266	3420
1405	6270	3416
1406	6275	3411
1407	6279	3407
1408	6283	3402
1409	6288	3398
1410	6292	3393
1411	6297	3389
1412	6301	3385
1413	6306	3380
1414	6310	3376
1415	6314	3371
1416	6319	3367
1417	6323	3362
1418	6327	3357
1419	6331	3353
1420	6337	3349
1421	6341	3344
1422	6345	3339
1423	6349	3335
1424	6354	3331
1425	6358	3326
1426	6362	3321
1427	6366	3316
1428	6370	3312
1429	6374	3307
1430	6379	3303
1431	6383	3298
1432	6388	3294
1433	6392	3289
1434	6395	3284
1435	6401	3280
1436	6405	3276
1437	6409	3271
1438	6412	3266
1439	6417	3262
1440	6421	3257
1441	6425	3253
1442	6429	3248
1443	6434	3243
1444	6438	3239
1445	6441	3234
1446	6445	3229
1447	6450	3225
1448	6453	3220
1449	6457	3215
1450	6461	3210
1451	6466	3206
1452	6470	3201
1453	6473	3196
1454	6477	3191
1455	6482	3187
1456	6486	3183
1457	6490	3178
1458	6495	3174
1459	6500	3170
1460	6504	3165
1461	6508	3160
1462	6513	3156
1463	6517	3151
1464	6521	3147
1465	6525	3142
1466	6530	3138
1467	6535	3133
1468	6538	3129
1469	6542	3124
1470	6552	3122
1471	6556	3118
1472	6561	3113
1473	6565	3108
1474	6569	3104
1475	6572	3099
1476	6576	3094
1477	6580	3090
1478	6584	3085
1479	6588	3080
1480	6592	3076
1481	6597	3071
1482	6601	3066
1483	6605	3062
1484	6610	3058
1485	6616	3054
1486	6621	3050
1487	6625	3045
1488	6630	3041
1489	6634	3036
1490	6638	3031
1491	6642	3027
1492	6647	3023
1493	6652	3018
1494	6657	3014
1495	6662	3010
1496	6667	3006
1497	6677	3004
1498	6682	3000
1499	6687	2995
1500	6696	2993
1501	6701	2989
1502	6706	2984
1503	6710	2980
1504	6714	2975
1505	6717	2970
1506	6722	2966
1507	6726	2961
1508	6730	2957
1509	6734	2952
1510	6738	2947
1511	6742	2943
1512	6746	2938
